game_pk,game_time_utc,game_date,venue_id,venue_name,latitude,longitude,roof_type,weather_roof_open,mlb_weather_condition,mlb_weather_temp,mlb_weather_wind,weather_time_utc,weather_temperature_2m_f,weather_relative_humidity_2m,weather_pressure_msl_hpa,weather_precipitation_mm,weather_wind_speed_10m_mph,weather_wind_direction_10m_deg,weather_wind_dir_sin,weather_wind_dir_cos,weather_precip_flag,weather_time_delta_minutes,weather_source
776218,2025-09-23T22:40:00Z,2025-09-23,5,Progressive Field,41.495861,-81.685255,Open,1.0,Clear,72,"2 mph, In From CF",2025-09-23 23:00:00+00:00,72.0,78,1014.3,0.0,2.5,317,-0.6819983600624984,0.7313537016191707,0.0,20.0,open-meteo-historical
776275,2025-09-18T17:10:00Z,2025-09-18,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Sunny,81,"3 mph, Out To CF",2025-09-18 17:00:00+00:00,83.4,39,1017.3,0.0,1.9,237,-0.8386705679454242,-0.544639035015027,0.0,10.0,open-meteo-historical
776366,2025-09-12T23:10:00Z,2025-09-12,4169,loanDepot park,25.77796236,-80.21951795,Retractable,1.0,Roof Closed,72,"0 mph, None",2025-09-12 23:00:00+00:00,78.1,87,1012.8,0.0,7.0,14,0.24192189559966773,0.9702957262759965,0.0,10.0,open-meteo-historical
776435,2025-09-06T22:10:00Z,2025-09-06,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Partly Cloudy,63,"13 mph, Out To LF",2025-09-06 22:00:00+00:00,62.9,52,1015.0,0.0,10.0,266,-0.9975640502598242,-0.06975647374412558,0.0,10.0,open-meteo-historical
776512,2025-08-31T18:10:00Z,2025-08-31,7,Kauffman Stadium,39.051567,-94.480483,Open,1.0,Partly Cloudy,78,"8 mph, In From LF",2025-08-31 18:00:00+00:00,75.5,59,1019.9,0.0,8.8,102,0.9781476007338057,-0.20791169081775934,0.0,10.0,open-meteo-historical
776590,2025-08-26T02:05:00Z,2025-08-25,2529,Sutter Health Park,38.57994,-121.51246,Open,1.0,Clear,88,"10 mph, Out To CF",2025-08-26 02:00:00+00:00,88.2,34,1007.3,0.0,8.4,195,-0.2588190451025208,-0.9659258262890683,0.0,5.0,open-meteo-historical
776685,2025-08-19T22:40:00Z,2025-08-19,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Cloudy,76,"3 mph, Out To LF",2025-08-19 23:00:00+00:00,76.8,83,1012.2,0.7,4.6,359,-0.01745240643728356,0.9998476951563913,1.0,20.0,open-meteo-historical
776744,2025-08-14T23:40:00Z,2025-08-14,3312,Target Field,44.981829,-93.277891,Open,1.0,Partly Cloudy,71,"12 mph, R To L",2025-08-14 23:00:00+00:00,77.8,69,1011.8,0.4,11.0,160,0.3420201433256689,-0.9396926207859083,1.0,40.0,open-meteo-historical
776832,2025-08-08T23:10:00Z,2025-08-08,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Clear,84,"8 mph, In From CF",2025-08-08 23:00:00+00:00,83.6,56,1017.4,0.0,7.0,186,-0.1045284632676535,-0.9945218953682733,0.0,10.0,open-meteo-historical
776912,2025-08-02T20:05:00Z,2025-08-02,2681,Citizens Bank Park,39.90539086,-75.16716957,Open,1.0,Partly Cloudy,79,"5 mph, In From CF",2025-08-02 20:00:00+00:00,79.4,38,1021.8,0.0,4.3,59,0.8571673007021123,0.5150380749100542,0.0,5.0,open-meteo-historical
777003,2025-07-26T22:10:00Z,2025-07-26,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Overcast,82,"10 mph, In From RF",2025-07-26 22:00:00+00:00,81.1,77,1013.9,0.0,4.4,207,-0.4539904997395467,-0.8910065241883679,0.0,10.0,open-meteo-historical
777073,2025-07-20T23:10:00Z,2025-07-20,5325,Globe Life Field,32.747299,-97.081818,Retractable,1.0,Roof Closed,74,"0 mph, None",2025-07-20 23:00:00+00:00,94.9,39,1012.7,0.0,11.5,183,-0.052335956242943564,-0.9986295347545738,0.0,10.0,open-meteo-historical
777161,2025-07-11T23:10:00Z,2025-07-11,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Partly Cloudy,83,"7 mph, In From RF",2025-07-11 23:00:00+00:00,87.0,48,1011.5,0.2,13.3,236,-0.8290375725550418,-0.5591929034707466,1.0,10.0,open-meteo-historical
777226,2025-07-06T17:40:00Z,2025-07-06,5,Progressive Field,41.495861,-81.685255,Open,1.0,Partly Cloudy,91,"9 mph, Out To RF",2025-07-06 18:00:00+00:00,86.5,51,1012.4,0.0,9.8,229,-0.754709580222772,-0.6560590289905073,0.0,20.0,open-meteo-historical
777314,2025-06-29T23:10:00Z,2025-06-29,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Clear,86,"8 mph, In From RF",2025-06-29 23:00:00+00:00,87.1,47,1012.5,0.0,7.4,151,0.48480962024633717,-0.8746197071393957,0.0,10.0,open-meteo-historical
777386,2025-06-24T22:40:00Z,2025-06-24,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Cloudy,84,"5 mph, Out To LF",2025-06-24 23:00:00+00:00,82.2,72,1019.5,2.1,5.3,65,0.9063077870366499,0.42261826174069944,1.0,20.0,open-meteo-historical
777451,2025-06-19T17:10:00Z,2025-06-19,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Cloudy,64,"13 mph, Out To CF",2025-06-19 17:00:00+00:00,65.4,77,1008.6,0.3,12.1,328,-0.529919264233205,0.8480480961564258,1.0,10.0,open-meteo-historical
777540,2025-06-12T22:35:00Z,2025-06-12,2,Oriole Park at Camden Yards,39.283787,-76.621689,Open,1.0,Partly Cloudy,88,"7 mph, In From CF",2025-06-12 23:00:00+00:00,93.1,24,1015.4,0.0,4.4,269,-0.9998476951563913,-0.017452406437283498,0.0,25.0,open-meteo-historical
777626,2025-06-06T23:10:00Z,2025-06-06,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Partly Cloudy,72,"7 mph, L To R",2025-06-06 23:00:00+00:00,69.7,69,1012.3,0.0,8.0,57,0.838670567945424,0.5446390350150271,0.0,10.0,open-meteo-historical
777694,2025-05-31T20:10:00Z,2025-05-31,7,Kauffman Stadium,39.051567,-94.480483,Open,1.0,Sunny,84,"10 mph, Out To RF",2025-05-31 20:00:00+00:00,81.5,50,1009.7,1.4,8.9,260,-0.984807753012208,-0.17364817766693033,1.0,10.0,open-meteo-historical
777780,2025-05-25T15:35:00Z,2025-05-25,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Sunny,59,"5 mph, Out To CF",2025-05-25 16:00:00+00:00,62.2,41,1024.9,0.0,8.5,316,-0.6946583704589976,0.7193398003386509,0.0,25.0,open-meteo-historical
777840,2025-05-20T23:45:00Z,2025-05-20,2889,Busch Stadium,38.62256667,-90.19286667,Open,1.0,Partly Cloudy,81,"15 mph, Out To RF",2025-05-20 23:00:00+00:00,74.5,63,1001.7,0.0,10.8,264,-0.9945218953682734,-0.10452846326765336,0.0,45.0,open-meteo-historical
777927,2025-05-14T22:40:00Z,2025-05-14,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Partly Cloudy,75,"6 mph, In From LF",2025-05-14 23:00:00+00:00,73.3,63,1007.8,0.3,7.8,152,0.4694715627858907,-0.882947592858927,1.0,20.0,open-meteo-historical
777996,2025-05-09T22:40:00Z,2025-05-09,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Clear,63,"3 mph, Out To RF",2025-05-09 23:00:00+00:00,60.5,41,1020.3,0.0,5.0,17,0.29237170472273677,0.9563047559630354,0.0,20.0,open-meteo-historical
778085,2025-05-03T01:38:00Z,2025-05-02,1,Angel Stadium,33.80019044,-117.8823996,Open,1.0,Clear,68,"8 mph, Out To CF",2025-05-03 02:00:00+00:00,62.3,68,1012.3,0.0,4.9,200,-0.34202014332566866,-0.9396926207859084,0.0,22.0,open-meteo-historical
778155,2025-04-27T17:40:00Z,2025-04-27,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Sunny,55,"5 mph, Out To RF",2025-04-27 18:00:00+00:00,60.9,39,1027.1,0.0,2.8,106,0.9612616959383189,-0.27563735581699905,0.0,20.0,open-meteo-historical
778246,2025-04-20T17:40:00Z,2025-04-20,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Sunny,53,"7 mph, In From LF",2025-04-20 18:00:00+00:00,51.4,46,1030.3,0.0,7.9,71,0.9455185755993167,0.32556815445715676,0.0,20.0,open-meteo-historical
778323,2025-04-14T23:40:00Z,2025-04-14,32,American Family Field,43.02838,-87.97099,Retractable,1.0,Roof Closed,64,"0 mph, None",2025-04-14 23:00:00+00:00,53.2,47,1006.7,0.0,19.9,276,-0.9945218953682734,0.10452846326765299,0.0,40.0,open-meteo-historical
778403,2025-04-08T17:10:00Z,2025-04-08,2394,Comerica Park,42.3391151,-83.048695,Open,1.0,Sunny,34,"10 mph, Out To LF",2025-04-08 17:00:00+00:00,34.9,48,1020.3,0.0,10.5,310,-0.7660444431189781,0.6427876096865393,0.0,10.0,open-meteo-historical
778469,2025-04-02T20:10:00Z,2025-04-02,680,T-Mobile Park,47.591333,-122.33251,Retractable,1.0,Roof Closed,50,"0 mph, None",2025-04-02 20:00:00+00:00,48.1,76,1014.0,0.0,3.3,292,-0.9271838545667874,0.37460659341591196,0.0,10.0,open-meteo-historical
778546,2025-03-27T23:10:00Z,2025-03-27,22,Dodger Stadium,34.07368,-118.24053,Open,1.0,Partly Cloudy,69,"3 mph, Out To RF",2025-03-27 23:00:00+00:00,65.9,57,1016.0,0.0,9.6,238,-0.848048096156426,-0.529919264233205,0.0,10.0,open-meteo-historical
